row_id,source_dataset,npdes_id,registry_id,facility_name,city,state,county,permit_status,permit_type,facility_type,total_design_flow,actual_average_flow,current_snc_status,current_violation,inspections,pct_low_income_3mi,pct_people_of_color,population_density,tribal_spatial_flag,derived_tribes,latitude,longitude,has_tribal_context,has_current_violation
10040,EPA ECHO CWA/NPDES facility locations,AKR06AA86,110031469408,INSULFOAM,ANCHORAGE,AK,Anchorage Municipality,Expired,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,34.620000000000005,52.449999999999996,2653.18,N,"Knik Tribe - 17 mile(s), Eklutna Native Village - 24 mile(s)",61.22621699994771,-149.89203500029203,TRUE,FALSE
10041,EPA ECHO CWA/NPDES facility locations,AK0053708,110031469462,"NIBLACK PROJECT, LLC",PRINCE OF WALES ISLAND,AK,Prince of Wales-Outer Ketchikan(CA),Effective,NPDES Individual Permit,NON-POTW,NA,NA,NA,NA,1,25,50,0.32999999999999996,N,"Metlakatla Indian Community, Annette Island Reserve - 18 mile(s), Hydaburg Cooperative Association - 25 mile(s)",55.0658419998677,-132.14943400000598,TRUE,FALSE
10042,EPA ECHO CWA/NPDES facility locations,AKR10H0CV,110071499986,3RD AVENUE,ANCHORAGE,AK,Anchorage Municipality,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,34.7,54.58,3230.04,N,"Knik Tribe - 18 mile(s), Eklutna Native Village - 24 mile(s)",61.2195340000914,-149.87922199971197,TRUE,FALSE
10043,EPA ECHO CWA/NPDES facility locations,AKR10GO07,110071238604,HILL TOP SUBDIVISION_2,HAINES,AK,Haines,Admin Continued,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,1,22.38,25.17,67.47,N,"Chilkoot Indian Association (Haines) - 1 mile(s), Skagway Village - 17 mile(s), Chilkat Indian Village (Klukwan) - 20 mile(s)",59.226099999798,-135.45099999964302,TRUE,FALSE
10044,EPA ECHO CWA/NPDES facility locations,AKG521003,110006852361,TONKA SEAFOODS INC PETERSBURG PLANT,PETERSBURG,AK,Petersburg Census Area,Effective,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,1,22.49,41.43,134.87,N,Petersburg Indian Association - 3 mile(s),56.8076980001292,-132.973006000261,TRUE,FALSE
10045,EPA ECHO CWA/NPDES facility locations,AKG130029,110010112234,VFDA SOLOMON GULCH AQUACULTURE FACILITY,VALDEZ,AK,Unknown county,Admin Continued,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,1,16.979999999999997,30.06,6.319999999999999,N,Native Village of Tatitlek - 20 mile(s),61.084011999939996,-146.30398800013302,TRUE,FALSE
10046,EPA ECHO CWA/NPDES facility locations,AKG370D98,110071951673,BELOW ALASKA MINING DRY CREEK MINE SITE,TRAPPER CRREK,AK,Matanuska-Susitna,Admin Continued,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,0,0,0.07,NA,NA,62.55170000014629,-150.841700000074,FALSE,FALSE
10047,EPA ECHO CWA/NPDES facility locations,AKG572019,110028073251,FOREST PARK WWTF,KETCHIKAN,AK,Ketchikan Gateway,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,25.79,41.230000000000004,268.63,N,"Organized Village of Saxman - 1 mile(s), Ketchikan Indian Community - 2 mile(s), Metlakatla Indian Community, Annette Island Reserve - 3 mile(s)",55.3249909998761,-131.60976800017195,TRUE,FALSE
10048,EPA ECHO CWA/NPDES facility locations,AKG572009,110070256753,"HILCORP ALASKA, LLC PRUDHOE BAY OPERATIONS CENTER WWTF",PRUDHOE BAY,AK,North Slope,Effective,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,1,8.7,21.74,1.03,NA,NA,70.31091299987601,-148.61693700003602,FALSE,FALSE
10049,EPA ECHO CWA/NPDES facility locations,AKG370D71,110071278823,WESTERN GOLD EXPLORATION BASIN CREEK MINE SITE,NOME,AK,Nome (CA),Admin Continued,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,1,10.42,68.63,2.06,N,Nome Eskimo Community - 13 mile(s),64.68100000005388,-165.29099999990098,TRUE,FALSE
10050,EPA ECHO CWA/NPDES facility locations,AKG370945,110063017266,BAISDON EASLEY CREEK MINE SITE,CENTRAL,AK,Yukon-Koyukuk (CA),Admin Continued,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,50,100,0.07,NA,NA,65.49599999984052,-144.75500000017698,FALSE,FALSE
10051,EPA ECHO CWA/NPDES facility locations,AKG370B97,110070151927,HOLLAND SF FORTYMILE RIVER TRIBUTARY MINE SITE,CHICKEN,AK,Southeast Fairbanks (CA),Admin Continued,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,64.09508290006839,-141.980909700272,FALSE,FALSE
10052,EPA ECHO CWA/NPDES facility locations,AKG332033,110064404700,HILCORP ALASKA LLC - MILNE POINT UNIT,DEADHORSE,AK,North Slope,Effective,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,1,8.7,21.74,1.03,NA,NA,70.31777799988409,-148.729722000313,FALSE,FALSE
