row_id,source_dataset,pws_id,system_name,facility_id,source_type_code,source_type,federal_type_code,federal_type,activity_status,population_served,comment,longitude,latitude
130,ADEC SDWIS active PWS source locations,AK2243933   ,NINILCHIK SENIOR CITIZEN INC.,33120,WL,Well,NC  ,NC  ,NA,55,NA,-151.66012822591,60.0430004320199
131,ADEC SDWIS active PWS source locations,AK2261282   ,BBAHC - KANAKANAK HOSPITAL,33121,WL,Well,C   ,C   ,NA,305,NA,-158.542735242764,58.9990864365225
132,ADEC SDWIS active PWS source locations,AK2260139   ,NAPASKIAK WEST WATER SYSTEM,33127,WL,Well,C   ,C   ,NA,200,NA,-161.76699499776598,60.70740777775829
133,ADEC SDWIS active PWS source locations,AK2242084   ,POACHERS COVE PLANNED UNIT DEVELOPMENT,33130,WL,Well,NC  ,NC  ,NA,400,NA,-151.10482253855398,60.504501489475594
134,ADEC SDWIS active PWS source locations,AK2214861   ,SKYVIEW WATER SYSTEM,33140,WL,Well,NC  ,NC  ,NA,55,NA,-149.46358117401496,61.39340469759059
135,ADEC SDWIS active PWS source locations,AK2212461   ,HILLSIDE PARK S/D,33148,WL,Well,C   ,C   ,NA,144,NA,-149.748315981705,61.1245086682852
136,ADEC SDWIS active PWS source locations,AK2245854   ,SOLDOTNA CENTENNIAL #2,33173,WL,Well,NC  ,NC  ,NA,200,NA,-151.09775252345398,60.481431492172696
137,ADEC SDWIS active PWS source locations,AK2240896   ,HOME PORT CONDO ASSOC. INC.,33176,WL,Well,NC  ,NC  ,NA,221,NA,-151.256982552331,60.53036146323269
138,ADEC SDWIS active PWS source locations,AK2226290   ,LONG RIFLE LODGE,33177,WL,Well,NC  ,NC  ,NA,25,NA,-147.78389047057698,61.79695694895392
139,ADEC SDWIS active PWS source locations,AK2227539   ,TWIN PEAKS,33178,WL,Well,C   ,C   ,NA,37,NA,-149.17834823203904,61.47140573939849
140,ADEC SDWIS active PWS source locations,AK2224882   ,MSBSD WILLOW ELEMENTARY,33194,WL,Well,NTNC,Non-transient non-community,NA,250,NA,-150.047709418902,61.741899579122894
141,ADEC SDWIS active PWS source locations,AK2271473   ,TUNDRA CENTER WATER SYSTEM,33197,WL,Well,NC  ,NC  ,NA,80,NA,-161.77487305552197,60.79722176771799
142,ADEC SDWIS active PWS source locations,AK2224832   ,MSB BIG LAKE LIBRARY,33204,WL,Well,NC  ,NC  ,NA,28,NA,-149.81830028179903,61.5490736294208
143,ADEC SDWIS active PWS source locations,AK2211897   ,KATHY O ESTATES,33210,WL,Well,C   ,C   ,NA,242,NA,-149.89833902384,61.18738663976689
144,ADEC SDWIS active PWS source locations,AK2261143   ,"NORTH PACIFIC SEAFOODS, PEDERSON POINT",33228,WL,Well,NC  ,NC  ,NA,300,NA,-157.062771210472,58.761434684101104
145,ADEC SDWIS active PWS source locations,AK2243608   ,"HILCORP ALASKA, LLC BELUGA RIVER CAMP",33234,WL,Well,NC  ,NC  ,NA,31,NA,-151.034442997202,61.17691645528859
146,ADEC SDWIS active PWS source locations,AK2211952   ,WHITTIER WATER SYSTEM,33235,WL,Well,C   ,C   ,NA,650,NA,-148.68839874844102,60.774504862511705
147,ADEC SDWIS active PWS source locations,AK2221208   ,WASILLA WEST SUBDIVISION,33238,WL,Well,C   ,C   ,NA,200,NA,-149.55412331026304,61.5844416705217
148,ADEC SDWIS active PWS source locations,AK2224531   ,VALLEY COUNTRY STORE #1,33239,WL,Well,NC  ,NC  ,NA,365,NA,-149.32856633278703,61.612706705786394
149,ADEC SDWIS active PWS source locations,AK2241818   ,SOLDOTNA CENTENNIAL #1,33248,WL,Well,NC  ,NC  ,NA,200,NA,-151.092702522668,60.48007849307649
150,ADEC SDWIS active PWS source locations,AK2226575   ,NORTH STAR BIBLE CAMP,33263,WL,Well,NC  ,NC  ,NA,44,NA,-149.726703447324,61.77503062983491
151,ADEC SDWIS active PWS source locations,AK2227092   ,MSBSD GLACIER VIEW SCHOOL,33264,WL,Well,NTNC,Non-transient non-community,NA,50,NA,-147.72297646800902,61.7938419591955
152,ADEC SDWIS active PWS source locations,AK2244808   ,ALPINE INN,33266,WL,Well,NC  ,NC  ,NA,30,NA,-149.82140154968803,60.48960969714269
153,ADEC SDWIS active PWS source locations,AK2294002   ,CRSD KENNY LAKE HIGH SCHOOL,33285,WL,Well,NTNC,Non-transient non-community,NA,30,NA,-145.006624375481,61.7261914112681
154,ADEC SDWIS active PWS source locations,AK2214471   ,SALVATION ARMY - ANCHORAGE KOREAN CORPS,33288,WL,Well,NC  ,NC  ,NA,152,NA,-149.84240295921603,61.0937516549375
155,ADEC SDWIS active PWS source locations,AK2227663   ,LAUNDRY AND PIONEER PIZZA. THE,33308,WL,Well,NC  ,NC  ,NA,25,NA,-149.036673288079,61.54807175783609
