row_id,source_dataset,npdes_id,facility_name,city,state,county,permit_status,permit_type,facility_type,total_design_flow,current_snc_status,current_violation,permit_feature_number,state_water_body_name,tribal_spatial_flag,derived_tribes,latitude,longitude,has_tribal_context,has_current_violation
714,EPA ECHO NPDES outfalls/permitted features,AKR06AF43,VALDEZ SMALL BOAT HARBOR,VALDEZ,AK,VALDEZ-CORDOVA (CA),Expired,General Permit Covered Facility,Municipality,NA,Failure to Report DMR - Not Received,Yes,004,Port Valdez,N,Native Village of Tatitlek - 22 mile(s),61.127100000000006,-146.343,TRUE,TRUE
715,EPA ECHO NPDES outfalls/permitted features,AKR06AF43,VALDEZ SMALL BOAT HARBOR,VALDEZ,AK,VALDEZ-CORDOVA (CA),Expired,General Permit Covered Facility,Municipality,NA,Failure to Report DMR - Not Received,Yes,005,Port Valdez,N,Native Village of Tatitlek - 22 mile(s),61.127500000000005,-146.34,TRUE,TRUE
716,EPA ECHO NPDES outfalls/permitted features,AKR06AD53,WRANGELL MARINE SERVICE CENTER,WRANGELL,AK,WRANGELL-PETERSBURG (CA),Expired,General Permit Covered Facility,County Government,NA,NA,No,001,Zimovia Strait,N,Wrangell Cooperative Association - 2 mile(s),56.469010000000004,-132.383643,TRUE,FALSE
717,EPA ECHO NPDES outfalls/permitted features,AKR06AF43,VALDEZ SMALL BOAT HARBOR,VALDEZ,AK,VALDEZ-CORDOVA (CA),Expired,General Permit Covered Facility,Municipality,NA,Failure to Report DMR - Not Received,Yes,001,Unnamed Wetlands,N,Native Village of Tatitlek - 22 mile(s),61.128800000000005,-146.346,TRUE,TRUE
718,EPA ECHO NPDES outfalls/permitted features,AKR06AF43,VALDEZ SMALL BOAT HARBOR,VALDEZ,AK,VALDEZ-CORDOVA (CA),Expired,General Permit Covered Facility,Municipality,NA,Failure to Report DMR - Not Received,Yes,003,Port Valdez,N,Native Village of Tatitlek - 22 mile(s),61.127700000000004,-146.347,TRUE,TRUE
719,EPA ECHO NPDES outfalls/permitted features,AKG523108,ALASKA GLACIER SEAFOODS JUNEAU PLANT,JUNEAU,AK,JUNEAU,Expired,General Permit Covered Facility,Corporation,NA,NA,No,006,Auke Bay,N,"Central Council of the Tlingit & Haida Indian Tribes - 12 mile(s), Douglas Indian Association - 14 mile(s)",58.37195,-134.67408299999997,TRUE,FALSE
720,EPA ECHO NPDES outfalls/permitted features,AKG370D8Q,BARRERA DEEP CREEK MINE SITE,FAIRBANKS,AK,FAIRBANKS NORTH STAR,Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,Yes,001,Deep Creek,NA,NA,65.36858,-146.37357399999996,FALSE,TRUE
721,EPA ECHO NPDES outfalls/permitted features,AKR06AB23,CORDOVA FERRY TERMINAL,CORDOVA,AK,VALDEZ-CORDOVA (CA),Expired,General Permit Covered Facility,State Government,NA,NA,No,001,Orca Inlet,N,Native Village of Eyak (Cordova) - 2 mile(s),60.557604999999995,-145.7542,TRUE,FALSE
722,EPA ECHO NPDES outfalls/permitted features,AKR06AB23,CORDOVA FERRY TERMINAL,CORDOVA,AK,VALDEZ-CORDOVA (CA),Expired,General Permit Covered Facility,State Government,NA,NA,No,004,NA,N,Native Village of Eyak (Cordova) - 2 mile(s),60.556599999999996,-145.754,TRUE,FALSE
723,EPA ECHO NPDES outfalls/permitted features,AKR06AB23,CORDOVA FERRY TERMINAL,CORDOVA,AK,VALDEZ-CORDOVA (CA),Expired,General Permit Covered Facility,State Government,NA,NA,No,003,NA,N,Native Village of Eyak (Cordova) - 2 mile(s),60.5569,-145.753,TRUE,FALSE
724,EPA ECHO NPDES outfalls/permitted features,AKR06AB23,CORDOVA FERRY TERMINAL,CORDOVA,AK,VALDEZ-CORDOVA (CA),Expired,General Permit Covered Facility,State Government,NA,NA,No,002,Orca Inlet,N,Native Village of Eyak (Cordova) - 2 mile(s),60.5573,-145.754,TRUE,FALSE
725,EPA ECHO NPDES outfalls/permitted features,AKG573001,ALAKANUK LAGOON,ALAKANUK,AK,WADE HAMPTON,Effective,General Permit Covered Facility,Municipality,NA,Failure to Report DMR - Not Received,Yes,001,NA,N,"Village of Alakanuk - 2 mile(s), Emmonak Village - 9 mile(s), Native Village of Nunam Iqua - 12 mile(s)",62.688900000000004,-164.61499999999998,TRUE,TRUE
726,EPA ECHO NPDES outfalls/permitted features,AKR06AB35,SKAGWAY FERRY TERMINAL,SKAGWAY,AK,SKAGWAY-HOONAH-ANGOON (CA),Admin Continued,General Permit Covered Facility,State Government,NA,NA,No,001,Lynn Canal,N,"Skagway Village - 1 mile(s), Chilkoot Indian Association (Haines) - 16 mile(s), Chilkat Indian Village (Klukwan) - 21 mile(s)",59.45005,-135.32434990000004,TRUE,FALSE
727,EPA ECHO NPDES outfalls/permitted features,AKR06AB35,SKAGWAY FERRY TERMINAL,SKAGWAY,AK,SKAGWAY-HOONAH-ANGOON (CA),Admin Continued,General Permit Covered Facility,State Government,NA,NA,No,006,Lynn Canal,N,"Skagway Village - 1 mile(s), Chilkoot Indian Association (Haines) - 16 mile(s), Chilkat Indian Village (Klukwan) - 21 mile(s)",59.45005,-135.32434990000004,TRUE,FALSE
728,EPA ECHO NPDES outfalls/permitted features,AKR06AB35,SKAGWAY FERRY TERMINAL,SKAGWAY,AK,SKAGWAY-HOONAH-ANGOON (CA),Admin Continued,General Permit Covered Facility,State Government,NA,NA,No,007,Lynn Canal,N,"Skagway Village - 1 mile(s), Chilkoot Indian Association (Haines) - 16 mile(s), Chilkat Indian Village (Klukwan) - 21 mile(s)",59.4503,-135.3239,TRUE,FALSE
